Algorithm,Iteration,Residual,PSNR,SSIM
Successive Over-Relaxation,1,131.551,5.679,0.154
,2,48.559,13.301,0.648
,3,18.767,19.117,0.737
,4,8.429,21.601,0.757
,5,5.148,22.403,0.764
,6,4.115,22.768,0.767
,7,3.687,23.014,0.768
,8,3.439,23.211,0.768
,9,3.267,23.38,0.767
,10,3.135,23.528,0.765
,11,3.029,23.661,0.762
,12,2.939,23.782,0.76
,13,2.862,23.894,0.756
,14,2.794,23.996,0.753
,15,2.733,24.091,0.749
,16,2.677,24.179,0.746
,17,2.627,24.261,0.742
,18,2.579,24.337,0.738
,19,2.536,24.408,0.733
,20,2.495,24.474,0.729
,21,2.456,24.535,0.725
,22,2.42,24.592,0.721
,23,2.385,24.645,0.717
,24,2.353,24.694,0.712
,25,2.322,24.74,0.708
,26,2.292,24.782,0.704
,27,2.264,24.821,0.7
,28,2.237,24.857,0.696
,29,2.212,24.89,0.691
,30,2.187,24.92,0.687
,31,2.163,24.948,0.683
,32,2.14,24.973,0.679
,33,2.119,24.996,0.675
,34,2.097,25.016,0.672
,35,2.077,25.035,0.668
,36,2.058,25.051,0.664
,37,2.039,25.066,0.66
,38,2.02,25.079,0.657
,39,2.003,25.09,0.653
,40,1.986,25.099,0.65
,41,1.969,25.107,0.646
,42,1.953,25.113,0.643
,43,1.938,25.118,0.64
,44,1.922,25.122,0.636
,45,1.908,25.124,0.633
,46,1.894,25.126,0.63
,47,1.88,25.126,0.627
,48,1.866,25.125,0.624
,49,1.853,25.123,0.621
,50,1.84,25.12,0.618
,51,1.828,25.116,0.615
,52,1.816,25.111,0.612
,53,1.804,25.106,0.61
,54,1.793,25.1,0.607
,55,1.781,25.093,0.604
,56,1.77,25.085,0.602
,57,1.76,25.077,0.599
,58,1.749,25.068,0.597
,59,1.739,25.058,0.594
,60,1.729,25.048,0.592
,61,1.719,25.037,0.589
,62,1.71,25.026,0.587
,63,1.7,25.015,0.585
,64,1.691,25.003,0.582
,65,1.682,24.99,0.58
,66,1.674,24.978,0.578
,67,1.665,24.964,0.576
,68,1.657,24.951,0.573
,69,1.648,24.937,0.571
,70,1.64,24.923,0.569
,71,1.632,24.909,0.567
,72,1.624,24.894,0.565
,73,1.617,24.879,0.563
